groups,name,isAdmin,id
进销存,物料信息,0,materialList
进销存,仓储管理,0,InventoryList
进销存,合作公司,0,cocompany
进销存,采购订单,0,po
进销存,来料入库,0,incomeList
进销存,物料流转,0,mtfList
进销存,出货管理,0,doList
进销存,销售订单,0,so
生产管理,物料清单,0,p-bomList
生产管理,工艺路线,0,p-routineList
生产管理,生产计划,0,p-cppList
生产管理,停工明细,0,p-stopPlanList
生产管理,实际生产,0,p-paList
生产管理,人事计划,0,p-personnelPlanList
生产管理,生产单位,0,p-pUnit
生产管理,工单信息,0,p-workorder
设备管理,设备明细,0,m-machineList
设备管理,备件明细,0,m-sparePartList
设备管理,保养计划,0,m-main
设备管理,维修历史,0,m-historyList
设备管理,报表导出,0,m-report
质量管理,首件检查,0,q-faiList
质量管理,过程检查,0,q-inProcessingList
质量管理,尺寸报告,0,q-dimensionReportList
质量管理,最终检查,0,q-finalAuditList
质量管理,不合格处理,0,q-noProcessingSheetList
EHS,EHS列表,0,e-ehs









