代码,01001,02002,03003,04004,05005,06006,07007,08008,09009,10010,11011,13012,13013,13014,13015,13016,13017,13018,14019,14020,14021,14022,15023,15024,16025,17026,17027,17028,17029,17030,18031,19032,19033,20034,21035,22036,23037,24038,25039,25040,26041,26042,26043,26044,26045,26046,26047,27048,28049,29050,29051,30052,30053,30054,30055,30056,30057,30058,31059,31060,31061,32062,32063,33064,34065,34066,34067,34068,34069,34070,35071,35072,35073,35074,36075,36076,37077,37078,37079,38080,38081,38082,38083,38084,38085,39086,39087,39088,39089,39090,39091,40092,41093,42094,43095,44096,45097,46098,47099,48100,49101,50102,51103,53104,54105,55106,56107,57108,58109,59110,60111,61112,62113,63114,65115,66116,67117,68118,70119,71120,72121,73122,74123,75124,76125,77126,78127,79128,80129,82130,83131,84132,85133,86134,87135,88136,89137,93138,90139,FU101,FU102,FU103,FU201,FU202,EX,OF
01001,247101 ,440 ,629500 ,277924 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,509264 ,1260813 ,826623 ,0 ,4476 ,7923 ,1031968 ,28977 ,0 ,84788 ,334469 ,188489 ,144099 ,0 ,2452376 ,2327 ,1116 ,0 ,323 ,0 ,13993 ,0 ,0 ,2305 ,0 ,0 ,1096 ,0 ,0 ,367 ,0 ,18 ,0 ,0 ,10307 ,20983 ,789957 ,0 ,0 ,434 ,0 ,40 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37507 ,2 ,0 ,0 ,11 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,183 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8039 ,0 ,0 ,0 ,0 ,0 ,0 ,108044 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,85818 ,1050573 ,1305 ,0 ,0 ,0 ,0 ,236 ,169775 ,603788 ,5929 ,0 ,247170 ,0 ,16232 ,509490 ,61447 ,0 ,41268 ,0 ,5259 ,0 ,0 ,146 ,7777 ,186 ,0 ,0 ,923873 ,6009732 ,0 ,0 ,-14851 ,65497 ,911953 
02002,0 ,118732 ,0 ,0 ,0 ,5 ,0 ,29 ,25 ,573 ,0 ,2 ,16 ,791 ,4 ,177 ,8 ,207 ,3821 ,5 ,58 ,104 ,2073 ,28 ,224 ,879 ,23 ,42 ,102 ,8995 ,473 ,4825 ,84421 ,766559 ,385682 ,355 ,95 ,37346 ,145 ,7 ,9065 ,13 ,4353 ,5213 ,6620 ,177301 ,153641 ,5706 ,239 ,759951 ,614 ,213 ,161 ,96 ,183 ,47 ,95 ,27 ,37 ,386 ,6 ,101 ,84 ,360 ,66 ,71 ,59 ,128 ,23 ,387 ,55 ,30 ,40 ,362 ,61 ,435 ,18 ,24 ,739 ,119 ,248 ,377 ,50 ,158 ,178 ,18 ,26 ,376 ,10 ,68 ,10 ,65 ,9063 ,52 ,187 ,635 ,18 ,1645 ,721550 ,67483 ,5894 ,359978 ,1361 ,195 ,51 ,83 ,280 ,0 ,6 ,43 ,0 ,50543 ,14786 ,0 ,32 ,5914 ,0 ,1584 ,250 ,18 ,112 ,12 ,138 ,0 ,5 ,58 ,519 ,964 ,1126 ,90 ,0 ,0 ,59 ,0 ,22 ,0 ,0 ,0 ,0 ,8522 ,1516 ,0 ,0 ,39932 ,4162 ,1159 
03003,0 ,0 ,17075 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6404 ,0 ,0 ,368667 ,0 ,90690 ,713 ,60182 ,0 ,76709 ,67 ,4185 ,0 ,0 ,741440 ,35931 ,0 ,0 ,255349 ,289311 ,0 ,0 ,2994 ,0 ,0 ,55922 ,0 ,0 ,0 ,0 ,29 ,0 ,0 ,91635 ,0 ,6660 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22587 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,193 ,0 ,0 ,0 ,0 ,19517 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,322 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44979 ,422298 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1460845 ,0 ,2693080 ,89609 ,58313 ,51965 
04004,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5275 ,1861873 ,0 ,0 ,0 ,0 ,205186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,592532 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2153 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,324 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90586 ,243059 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,418192 ,2822641 ,0 ,0 ,38 ,52712 ,685427 
05005,0 ,0 ,0 ,0 ,5291 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30 ,0 ,0 ,6892 ,0 ,0 ,0 ,0 ,33068 ,0 ,0 ,0 ,211160 ,0 ,17790 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,718 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,91217 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2388 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,142243 ,0 ,0 ,0 ,0 
06006,0 ,0 ,0 ,0 ,0 ,27667 ,0 ,3605 ,1397 ,18055 ,1171 ,1097 ,1559 ,8788 ,3067 ,14972 ,9495 ,11817 ,763 ,1759 ,585 ,8291 ,16155 ,3677 ,12 ,268545 ,12043 ,25368 ,49885 ,48186 ,43232 ,13447 ,3188 ,31636 ,2760 ,339034 ,21121 ,10392 ,95947 ,954 ,191956 ,95677 ,26069 ,29061 ,130707 ,91706 ,21807 ,29652 ,137470 ,116973 ,74985 ,683014 ,247938 ,49352 ,67938 ,22664 ,27861 ,14335 ,75694 ,772156 ,9150 ,21290 ,15006 ,74162 ,5497 ,5449 ,3201 ,5219 ,4920 ,17836 ,1385 ,3106 ,1636 ,8983 ,8667 ,11475 ,679 ,340 ,22364 ,28 ,712 ,46 ,327 ,2490 ,9114 ,1587 ,738 ,1670 ,1118 ,5331 ,406 ,1223 ,624813 ,1400 ,30383 ,10232604 ,0 ,16 ,19168 ,506442 ,3958 ,61200 ,0 ,132 ,860 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,25475 ,7276 ,0 ,0 ,191998 ,0 ,62392 
07007,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,0 ,270 ,0 ,0 ,2007 ,2578 ,1277 ,523 ,0 ,0 ,8208 ,0 ,3365 ,667 ,13107 ,91 ,1916 ,29206 ,6105 ,1045 ,2760 ,0 ,7014 ,3793 ,4170 ,0 ,4777 ,10343055 ,0 ,1656848 ,0 ,0 ,13280 ,897339 ,84 ,1376 ,6266 ,23788 ,1407 ,13725 ,0 ,0 ,46177 ,111480 ,12491 ,4102 ,5003 ,1043 ,97391 ,0 ,4187 ,28474 ,55285 ,207 ,261 ,623 ,5747 ,342 ,16144 ,1026 ,1384 ,1152 ,4902 ,3410 ,19151 ,0 ,4538 ,18900 ,3960 ,18574 ,0 ,0 ,798 ,9351 ,26 ,73 ,0 ,0 ,1673 ,125 ,140 ,184 ,0 ,4538 ,736726 ,1195383 ,0 ,0 ,380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,595212 ,0 
08008,0 ,0 ,0 ,0 ,0 ,0 ,0 ,79679 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,718 ,41 ,8 ,2868 ,0 ,0 ,0 ,0 ,0 ,5763 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,38185 ,28364 ,311 ,0 ,41 ,0 ,0 ,198842 ,1579880 ,14919 ,664 ,0 ,47212 ,0 ,0 ,0 ,49 ,0 ,3484 ,0 ,1445 ,0 ,6222 ,0 ,64284 ,0 ,0 ,0 ,41 ,0 ,0 ,11327 ,88 ,173 ,0 ,0 ,0 ,0 ,4118 ,0 ,0 ,0 ,26997 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,700 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5920 ,7 ,2873223 
09009,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59860 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,89101 ,0 ,0 ,800 ,0 ,0 ,57882 ,0 ,0 ,0 ,1533 ,0 ,0 ,1311 ,16140 ,0 ,185 ,4730 ,0 ,35595 ,0 ,717 ,0 ,171036 ,960346 ,266 ,10550 ,0 ,0 ,0 ,6195 ,0 ,6317 ,93 ,0 ,0 ,777 ,0 ,9659 ,0 ,43 ,17352 ,11452 ,0 ,0 ,7820 ,80 ,11753 ,0 ,1297 ,0 ,495 ,5559 ,0 ,9028 ,0 ,14388 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1416 ,83 ,727552 
